               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,             0.05923,            0.049042,              0.0574,              0.5766,             0.17108,             0.15628,            0.062221,            0.067737,            0.044508,            0.061717,            0.006502,            0.006502,            0.006502
                 108,            0.063457,            0.049528,            0.056016,             0.59172,             0.16862,             0.13876,            0.050166,            0.065434,            0.045659,            0.061828,            0.006469,            0.006469,            0.006469
                 109,            0.063465,            0.049925,            0.057464,             0.57553,             0.17935,             0.14564,            0.067693,            0.063358,            0.044272,            0.061793,            0.006436,            0.006436,            0.006436
                 110,            0.062892,            0.046462,             0.05842,              0.5531,             0.15867,             0.12179,            0.042586,             0.06827,            0.044694,            0.061907,            0.006403,            0.006403,            0.006403
                 111,            0.060108,            0.048892,            0.056188,             0.56814,             0.16645,             0.15897,            0.070979,            0.064951,            0.045637,            0.061647,             0.00637,             0.00637,             0.00637
                 112,            0.063042,            0.051903,             0.05669,             0.57993,             0.17533,             0.14366,            0.054889,            0.065178,            0.045776,            0.061756,            0.006337,            0.006337,            0.006337
                 113,            0.058387,            0.046041,            0.057688,             0.58081,             0.16847,             0.15784,            0.070497,             0.06423,            0.048162,            0.061486,            0.006304,            0.006304,            0.006304
                 114,            0.061706,            0.045431,            0.056857,              0.5981,             0.15171,             0.14213,            0.047183,            0.068662,            0.047722,            0.061849,            0.006271,            0.006271,            0.006271
                 115,            0.059356,            0.049689,            0.057799,             0.56196,             0.16713,             0.14581,            0.063438,            0.064538,            0.048232,            0.061415,            0.006238,            0.006238,            0.006238
                 116,            0.059542,            0.045037,            0.057044,             0.58764,             0.16369,              0.1426,            0.055494,            0.068332,            0.047284,            0.061517,            0.006205,            0.006205,            0.006205
                 117,            0.062467,            0.051538,            0.056797,             0.57375,             0.17565,             0.16566,            0.067604,            0.064057,            0.046587,            0.061135,            0.006172,            0.006172,            0.006172
                 118,            0.058387,            0.045559,            0.055461,             0.58727,             0.16708,             0.14543,            0.055383,            0.066424,            0.046367,            0.061157,            0.006139,            0.006139,            0.006139
                 119,            0.059946,            0.052829,            0.055547,             0.60265,             0.18344,             0.16384,             0.07492,            0.063198,            0.046326,            0.060919,            0.006106,            0.006106,            0.006106
                 120,            0.057955,             0.04398,            0.057051,               0.587,              0.1709,             0.13848,             0.04482,            0.066166,            0.046505,            0.061012,            0.006073,            0.006073,            0.006073
                 121,            0.057359,             0.05004,            0.056113,             0.59436,             0.18065,             0.16065,            0.073435,            0.063597,            0.045168,            0.060995,             0.00604,             0.00604,             0.00604
                 122,            0.060541,            0.047783,            0.055997,             0.60161,             0.17141,             0.16193,            0.063144,            0.064811,            0.045678,            0.060984,            0.006007,            0.006007,            0.006007
                 123,            0.059718,            0.047535,            0.054669,             0.61662,             0.17473,             0.16476,            0.077381,            0.064897,            0.046013,             0.06065,            0.005974,            0.005974,            0.005974
                 124,            0.061303,            0.058046,            0.055211,             0.61224,             0.18623,             0.15037,            0.060532,             0.06358,            0.044725,            0.060806,            0.005941,            0.005941,            0.005941
                 125,            0.057344,             0.04528,             0.05547,             0.63393,             0.17599,             0.16542,            0.072987,            0.063487,            0.047103,            0.060622,            0.005908,            0.005908,            0.005908
                 126,            0.057927,            0.050793,            0.056436,             0.60269,              0.1671,             0.13034,            0.046008,            0.066344,            0.045264,            0.060836,            0.005875,            0.005875,            0.005875
                 127,            0.055454,            0.045017,            0.055149,             0.61654,             0.17099,             0.15019,            0.065297,            0.064259,            0.047096,            0.060711,            0.005842,            0.005842,            0.005842
                 128,            0.057545,            0.049562,            0.055555,              0.6173,             0.16826,             0.14566,            0.060781,            0.063778,            0.046729,            0.060789,            0.005809,            0.005809,            0.005809
                 129,            0.055781,            0.047311,            0.055725,             0.63158,             0.17909,             0.15689,            0.069628,            0.062851,            0.046787,            0.060786,            0.005776,            0.005776,            0.005776
                 130,            0.059826,            0.047713,            0.055358,             0.60499,             0.15598,             0.13425,            0.048712,            0.065965,            0.047873,            0.061055,            0.005743,            0.005743,            0.005743
                 131,             0.05691,            0.046216,            0.056118,             0.61328,             0.17286,             0.16429,            0.069064,            0.064971,            0.047337,            0.060781,             0.00571,             0.00571,             0.00571
                 132,            0.058048,            0.050449,            0.054285,             0.60791,              0.1696,              0.1395,            0.049279,            0.064952,            0.046212,            0.060855,            0.005677,            0.005677,            0.005677
                 133,            0.056379,            0.046371,             0.05517,             0.62549,             0.17974,             0.15921,            0.070504,             0.06435,            0.049402,            0.060671,            0.005644,            0.005644,            0.005644
                 134,            0.054741,            0.048665,            0.054292,             0.60179,              0.1461,             0.12882,            0.050059,            0.064489,            0.047425,            0.060854,            0.005611,            0.005611,            0.005611
                 135,            0.057069,              0.0466,             0.05407,             0.62649,             0.18483,             0.16477,             0.06562,            0.063483,            0.046648,            0.060783,            0.005578,            0.005578,            0.005578
                 136,            0.057622,             0.04182,            0.054951,             0.61971,             0.15998,              0.1545,            0.060099,            0.064038,            0.048133,            0.060739,            0.005545,            0.005545,            0.005545
